avg,long_bar,mean
0.16,41,0.10277047522750253
0.15,46,0.1287075393537697
0.18,63,0.12850574712643675
0.27,25,0.21746031746031746
0.16,43,0.13157773157773156
0.19,33,0.15
0.12,46,0.111473954222573
0.29,14,0.279126213592233
0.21,27,0.2068469505178366
0.32,17,0.3076190476190476
0.14,47,0.08828476664297562
0.13,50,0.10205918778824334
0.09,43,0.05546633416458852
0.24,15,0.23853211009174313
0.06,104,0.06248132780082988
0.09,67,0.11701309994670256
0.12,69,0.07127943795764892
0.23,143,0.21776098252243745
0.17,20,0.19056603773584904
0.14,30,0.10036868358273693
0.12,77,0.10878552971576227
0.18,19,0.16489361702127658
0.21,19,0.27546791443850266
0.09,45,0.06044348158531923
0.12,52,0.10538461538461537
0.24,25,0.22066574202496536
0.12,58,0.11288006111535524
0.06,54,0.07947906904092471
0.14,38,0.11056231003039514
0.11,50,0.09954128440366973
0.21,20,0.2126865671641791
0.3,7,0.28021680216802164
0.18,14,0.21122119815668203
0.22,18,0.21266733266733265
0.21,25,0.20941915227629515
0.48,15,0.44342105263157894
0.17,13,0.22171945701357465
0.23,29,0.23103448275862068
0.06,55,0.06123518059001931
0.14,48,0.11870187885954538
0.23,17,0.18562091503267975
0.15,54,0.12710084033613445
0.26,18,0.24102564102564103
0.12,54,0.12441132637853951
0.12,62,0.0887722941154659
0.18,16,0.171875
0.15,29,0.1745098039215686
0.19,19,0.1636115657392253
0.27,9,0.2504592774035517
0.29,21,0.21077844311377247
0.22,20,0.2108695652173913
0.25,10,0.1121190644932672
0.26,10,0.2594594594594594
0.21,10,0.33
0.15,31,0.10586814435919295
0.21,14,0.2030849098986672
0.25,13,0.20954907161803715
0.12,14,0.14698716119828817
0.22,16,0.20543371522094925
0.29,15,0.25468335229427375
0.19,33,0.15013496521083075
0.3,8,0.29677419354838713
0.3,5,0.35333333333333333
0.33,68,0.3101449275362319
0.22,16,0.22571428571428567
0.24,14,0.2182635658914729
0.27,12,0.1572062084257206
0.35,13,0.3499999999999999
0.23,16,0.2034324942791762
0.17,30,0.16153846153846155
0.22,36,0.12613276151407793
0.25,18,0.20860259740259743
0.12,44,0.1317880794701987
0.29,18,0.25821994130294895
0.23,19,0.19556726967772853
0.29,9,0.25626134301270415
0.21,32,0.1754741927281973
0.29,11,0.26627565982404694
0.21,12,0.18081014729950903
0.25,11,0.23930434782608692
0.08,25,0.17937062937062934
0.11,56,0.10727086533538148
0.12,37,0.10074074074074074
0.14,55,0.11707237909769556
0.11,61,0.11020686758374461
0.11,51,0.10549242424242426
0.09,46,0.10161134829913236
0.11,50,0.09110424459261668
0.14,46,0.09679978605812087
0.09,46,0.10718578521034754
0.12,57,0.09216300031881286
0.09,74,0.08814709186760002
0.11,310,0.09942857142857142
0.11,57,0.09576014536644457
0.09,131,0.08727810650887574
0.12,396,0.08281250000000001
0.1,62,0.08799003322259136
0.12,64,0.10496453900709218
0.12,46,0.14248366013071895
0.12,77,0.07877870887647423
0.06,69,0.08297239591276499
0.1,61,0.08292682926829269
0.14,57,0.12703072163464996
0.12,53,0.13708609271523178
0.08,55,0.09986842105263156
0.11,58,0.08119029117337843
0.1,52,0.0831927924729274
0.14,55,0.09170415161123811
0.1,65,0.08849999999999998
0.09,65,0.0819526627218935
0.14,59,0.10755813953488373
0.14,46,0.09492961418143901
0.3,92,0.28157894736842104
0.11,57,0.09118478944060339
0.13,58,0.09369098055229441
0.11,59,0.10493480897513645
0.12,61,0.09909090909090908
0.11,57,0.09528301886792452
0.09,196,0.07821934163397579
0.11,48,0.09177427685950414
0.11,60,0.10522762521667732
0.1,65,0.0994047619047619
0.1,50,0.10421686746987953
0.11,54,0.10546595847416707
0.1,46,0.09285714285714286
0.1,46,0.10783828382838284
0.15,49,0.100625
0.12,56,0.09886560872799405
0.16,46,0.15217391304347824
0.11,46,0.10479520479520481
0.11,45,0.09439775910364145
0.15,38,0.1363659147869674
0.12,45,0.09734513274336283
0.09,46,0.154174609226077
0.12,49,0.11172686788718456
0.11,53,0.09832214765100672
0.15,53,0.11782811459027315
0.13,52,0.10096924839192882
0.13,54,0.0942622950819672
0.09,57,0.09570426651081239
0.11,50,0.07773499037283388
0.12,50,0.08763736263736263
0.12,54,0.10697755960729312
0.14,57,0.1355434039644566
0.11,60,0.09775557011795544
0.12,54,0.09184400936369441
0.15,51,0.11055718475073313
0.1,59,0.08301339138465598
0.09,48,0.08407379518072289
0.08,68,0.07309140953208751
0.13,54,0.149434187016081
0.09,198,0.07893356643356644
0.09,48,0.1444903720133078
0.09,57,0.14220609579100146
0.11,60,0.0840042169829404
0.09,50,0.09228788289509353
0.03,407,0.03521611721611721
0.03,457,0.03306060606060606
0.02,522,0.029810850888392384
0.03,501,0.036240895363297214
0.03,468,0.03655510490850446
0.03,435,0.03062979251240415
0.02,694,0.03420124756029384
0.03,461,0.034591823977997246
0.03,395,0.03839241758952148
0.03,275,0.03779167376335191
0.03,454,0.035653553953866775
0.03,453,0.039442766028868745
0.03,390,0.04255868870676483
0.02,459,0.037453562843550905
0.03,396,0.04101948807446189
0.04,242,0.04545444930938935
0.02,461,0.03288759433337747
0.03,400,0.04248593181065872
0.02,602,0.03602172888778027
0.03,340,0.04020329477742727
0.03,372,0.0419264261595877
0.04,210,0.0438369304556355
0.03,312,0.03978293128858591
0.03,509,0.0320864342603473
0.02,577,0.03379890996464222
0.02,536,0.030533949344628955
0.03,437,0.039244478416542626
0.03,437,0.03252481330938652
0.02,669,0.036255509955920355
0.02,585,0.028883076717235133
0.03,353,0.04295033152022869
0.03,288,0.02803929121725732
0.03,292,0.04160571229536747
0.03,434,0.03517148433869319
0.02,728,0.03426160337552743
0.02,580,0.03797158098041019
0.02,588,0.035562101129111436
0.03,361,0.03955912508544088
0.02,544,0.033448144147941304
0.03,383,0.0373631266824539
0.03,410,0.041913946587537096
0.03,379,0.03316978593756183
0.03,464,0.037646652864044165
0.03,459,0.033955876705119264
0.03,353,0.03921990171990172
0.03,406,0.035161552601809955
0.03,348,0.033026953655225906
0.04,162,0.03318224545312122
0.04,217,0.034236111111111106
0.03,211,0.033346851718336935
0.04,172,0.031182212581344904
0.05,187,0.039217943994104644
0.04,155,0.03151349770977488
0.04,172,0.03579302711676813
0.03,147,0.032736156351791536
0.05,112,0.03360976289201033
0.05,115,0.031628470624328886
0.02,636,0.0320450522928399
0.02,620,0.034951149425287355
0.03,508,0.0315092835910912
0.02,668,0.03208301599390708
0.02,502,0.033128287433277795
0.02,652,0.0364662168768945
0.02,600,0.03372964943553179
0.02,702,0.034866142925161235
0.03,511,0.03795979151154132
0.03,472,0.0331002331002331
0.07,673,0.07261904761904761
0.02,780,0.02962657181760436
0.02,633,0.030067750677506777
0.03,887,0.03767656909858745
0.02,677,0.028790803956083095
0.02,623,0.035584984523896565
0.02,583,0.036744202737056024
0.02,599,0.03504505960074681
0.03,444,0.03664721240976808
0.03,447,0.03444509081507336
