art_140,lineage4.6.3,0.722,lineage4.2.2.2,0.278
art_141,lineage4.6.1,0.701,lineage4.2.2.2,0.299
art_142,lineage4.8.3,0.705,lineage4.3,0.295
art_143,lineage6,0.7,lineage4.1.2.1.1,0.3
art_144,lineage4.1.1,1.0
art_145,lineage4.1.3,0.308,lineage4.4.1.1.1,0.692
art_146,lineage1.2.2,0.703,lineagebov,0.297
art_147,lineage6,0.692,lineage4.6.1.2,0.308
art_148,lineage4.3,0.699,lineage4.4.1,0.301
art_149,lineage7,0.701,lineage1.1.1,0.299
art_14,lineage4.3.1,0.275,lineage4.1.1,0.725
art_150,lineage4.4.1,1.0
art_151,lineage1.2.2.1,0.702,lineage1.1.3,0.298
art_152,lineage4.1,0.681,lineage1.1.3,0.319
art_153,lineage4.8.2,0.714,lineage2,0.286
art_154,lineage4.1.3,0.705,lineage4.3.2,0.295
art_155,lineage1.2.2,0.697,lineage4.3.2.1,0.303
art_156,lineage2.2,1.0
art_157,lineagecap,0.297,lineage1.1.3,0.703
art_158,lineage4.2.2.2,1.0
art_159,lineage4.3.2.1,1.0
art_15,lineage4.6.2,0.705,lineage1.1.3.3,0.295
art_160,lineagecap,0.292,lineage4.6.2.1,0.708
art_161,lineage4.8.2,0.686,lineage4.3.1.1,0.314
art_162,lineage2.2,0.31,lineage2.2.2,0.69
art_163,lineageoryg,1.0
art_164,lineage8,0.694,lineage4.3.3,0.306
art_165,lineage4.3.1,1.0
art_166,lineage4.3.1.1,1.0
art_167,lineage4.4.1.2,1.0
art_168,lineage3,0.291,lineage1.2.2.1,0.709
art_169,lineage4.6.4,0.317,lineage1.1.3.3,0.683
art_16,lineage4.4.1.1.1,0.714,lineage4.1.1.3,0.286
art_170,lineage4.3.1,0.695,lineage4.6.2.1,0.305
art_171,lineageoryg,0.713,lineage4.6.4,0.287
art_172,lineage4.1,1.0
art_173,lineage4.1.3,1.0
art_174,lineage9,1.0
art_175,lineageoryg,0.699,lineage4.3.1.1,0.301
art_176,lineage4.1.1.1,1.0
art_177,lineage4.8.2,1.0
art_178,lineage1.2.1,0.687,lineage1.2.2.1,0.313
art_179,lineage2,1.0
art_17,lineage4.3.2,1.0
art_180,lineage1,0.309,lineage4.4,0.691
art_181,lineage8,0.315,lineage4.2.1.1,0.685
art_182,lineage4.1.1.3.1,1.0
art_183,lineage2.1,0.298,lineage4.4,0.702
art_184,lineage4.4.1,0.706,lineage2.2.2,0.294
art_185,lineage4.3,0.697,lineage4.6.2.2,0.303
art_186,lineage1.1.3.1,1.0
art_187,lineage4.1.1.3.1,0.699,lineage4.1,0.301
art_188,lineage4.1.1.3,0.332,lineage4.3.4.2,0.668
art_189,lineage4.6.1,0.679,lineage2.2,0.321
art_18,lineage1.1.3.1,0.703,lineage4.2.1,0.297
art_190,lineage3.1.2.2,0.689,lineage1.1.1,0.311
art_191,lineage4.6.4,1.0
art_192,lineage3,0.7,lineage1.1.2,0.3
